id,winery_id,name,product_url,description,datasheet_url,grape_varieties,operating_temperature,ageing_potential,aging,reserve_wines,dosage,crus_assembles,created_at
1,1,Cuvée Royale Brut - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-brut/,"L’expression du style de la maison Joseph Perrier fondée en 1825 à Châlons-en-Champagne. En 2025, la maison célèbre les 200 ans de son aventure familiale.",https://www.josephperrier.com/wp-content/uploads/2021/03/240909_JOSEPH-PERRIER_Fiche_Degustation_CUVEE-ROYALE-BRUT.pdf,"Chardonnay 35%, Pinot Noir 35%",,,36 mois en cave,Environ 20%,7g/L,"Plus de 20 crus différents dont les vignobles situés à Cumières, Damery, Hautvillers et Verneuil",2026-04-06 04:03:03
2,1,Cuvée Royale Brut Nature - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-brut-nature/,"Champagne brut nature très expressif, sans sucre, d’une grande pureté.Champagne brut nature très expressif, sans sucre, d’une grande pureté. Nous avons choisi la base de vendange 2013 vieillie 72 mois pour trouver l’équilibre parfait entre rondeur et puissance.",https://www.josephperrier.com/wp-content/uploads/2021/03/JOSEPH-PERRIER_Fiche_Degustation_CUVEE-ROYALE-NATURE.pdf,"Chardonnay 62%, Pinot Noir 14%",,,72 mois en cave,environ 24%,0g/L,"Une dizaine de crus des terroirs de Cumières, Avize, Chouilly, Mesnil sur Oger, Bergères-lès-Vertus, Trépail et Bassuet.",2026-04-06 04:03:06
3,1,Cuvée Royale Brut Blanc de Blancs - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-brut-blanc-de-blancs/,"L’interprétation du savoir-faire de la maison, sur ce cépage caractéristique de la Champagne, est un travail minutieux sur la fraîcheur, l’élégance et la vivacité du chardonnay. L'une des cuvées emblématiques de la maison particulièrement appréciée des amateurs initiés.",https://www.josephperrier.com/wp-content/uploads/2021/03/JOSEPH-PERRIER_Fiche_Degustation_CUVEE-ROYALE-BDB.pdf,Chardonnay 100%,,,36 mois en cave,environ 15%,6g/L,"Une dizaine de crus des terroirs de Cumières, Avize, Chouilly, Mesnil sur Oger, Bergères-lès-Vertus, Trépail et Bassuet.",2026-04-06 04:03:09
4,1,Cuvée Royale Brut Rosé - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-brut-rose/,"Cette cuvée est un rosé d'assemblage, fruit des cépages de chardonnay, pinot noir vinifié en rouge. Servie par un cœur vineux allié à des notes fruitées et fraîches, cette cuvée sublimera l’apéritif mais aussi un plat de saumon sauvage ou un dessert.",https://www.josephperrier.com/wp-content/uploads/2021/03/JOSEPH-PERRIER_Fiche_Degustation_CUVEE-ROYALE-ROSE.pdf,"Chardonnay 40%, Pinot Noir 40%",,,36 mois en cave,environ 20%,7g/L,"Une quinzaine de crus des terroirs de Verneuil, Cumières, Damery, Sacy, Les Riceys, Avize, Chouilly et Bassuet.",2026-04-06 04:03:12
5,1,Cuvée Royale Demi-Sec - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-demi-sec/,Un champagne savoureux dont les notes gourmandes et fruitées clôturaient les repas dans la tradition royale.,https://www.josephperrier.com/wp-content/uploads/2021/03/JOSEPH-PERRIER_Fiche_Degustation_CUVEE-ROYALE-DEMI-SEC.pdf,"Chardonnay 35%, Pinot Noir 35%",,,36 mois sur lies dans nos caves historiques.,environ 20%,38g/L,"Plus de 20 crus différents dont les vignobles situés à Cumières, Damery, Hautvillers et Verneuil.",2026-04-06 04:03:14
6,1,Cuvée Royale Vintage 2009 - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-vintage-2009/,Cuvée Royale Brut Vintage 2009 embodies with elegance and finesse the faithful expression of the Joseph Perrier house style.,https://www.josephperrier.com/wp-content/uploads/2025/04/Fiche-Technique-Cuvee-Royale-Brut-2009.pdf,"Chardonnay 45%, Pinot Noir 40%",8 to 10°C,8 to 10 years,72 months,,6g/L,"Le Mesnil sur Oger, Chouilly, Bergères les Vertus, Cumières, Mailly Champagne, Rilly la Montagne, Sacy",2026-04-06 04:03:18
7,1,Cuvée Royale Vintage 2012 - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-vintage-2012/,La Cuvée Royale Brut Vintage 2012 incarne avec élégance et finesse l’expression fidèle du style de la maison Joseph Perrier.,https://www.josephperrier.com/wp-content/uploads/2021/07/Cuvée-Royale-Vintage-2012-FR.pdf,"Chardonnay 46%, Pinot Noir 54%",,,108 mois,,3g/L,"Ambonnay, Mailly, Serzy, Cumières,Chouilly, Bergères-lès-Vertus.",2026-04-06 04:03:20
8,1,Cuvée Royale Vintage 2013 - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-vintage-2013/,Cuvée Royale Brut Vintage 2013 embodies with elegance and finesse the faithful expression of the Joseph Perrier house style.,https://www.josephperrier.com/wp-content/uploads/2025/04/Cuvee-Royale-Vintage-2013-FR.pdf,"Chardonnay 46%, Pinot Noir 54%",10 to 12°C,8 to 10 years,108 months,,3g/L,"Ambonnay, Mailly, Cumières, Chouilly, Bergères-lès-Vertus.",2026-04-06 04:03:24
9,1,Cuvée Royale Vintage - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-vintage-2015/,"Nos Cuvée Royale Vintage incarnent avec fraîcheur et finesse le climat intense et excessif de leurs années de vendange respective. Le millésime 2018 se distingue par la fraîcheur du chardonnay mêlée à la richesse du pinot noir, subtilement équilibré par un dosage délicat.",https://www.josephperrier.com/wp-content/uploads/2021/07/1905025_JOSEPH-PERRIER_Fiche_Degustation_CUVEE-ROYALE-VINTAGE-2018-FR.pdf,"Chardonnay 81%, Pinot Noir 19%",,,84 mois sur lies,,2g/L,"Chardonnays : Bassuet, Chouilly, Avize, Cumières et le Mesnil-sur-Oger",2026-04-06 04:03:28
10,1,Cuvée Royale Vintage - Champagne Joseph Perrier,https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-vintage-2018/,"Nos Cuvée Royale Vintage incarnent avec fraîcheur et finesse le climat intense et excessif de leurs années de vendange respective. Le millésime 2018 se distingue par la fraîcheur du chardonnay mêlée à la richesse du pinot noir, subtilement équilibré par un dosage délicat.",https://www.josephperrier.com/wp-content/uploads/2021/07/1905025_JOSEPH-PERRIER_Fiche_Degustation_CUVEE-ROYALE-VINTAGE-2018-FR.pdf,"Chardonnay 81%, Pinot Noir 19%",,,84 mois sur lies,,2g/L,"Chardonnays : Bassuet, Chouilly, Avize, Cumières et le Mesnil-sur-Oger",2026-04-06 04:03:31
